ID,Words,count,year
0,heart disease,2.490000000000000000e+02,2001
1,heart failure,1.450000000000000000e+02,2001
2,cardiovascular disease,3.200000000000000000e+01,2001
3,cancer,2.775000000000000000e+03,2001
4,malignant neoplasms,0.000000000000000000e+00,2001
5,respiratory disease,1.000000000000000000e+00,2001
6,bronchitis,3.400000000000000000e+01,2001
7,emphysema,4.400000000000000000e+01,2001
8,asthma,2.900000000000000000e+02,2001
9,unintentional injuries,0.000000000000000000e+00,2001
10,car accident,1.910000000000000000e+02,2001
11,pileup,3.800000000000000000e+01,2001
12,car crash,1.010000000000000000e+02,2001
13,stroke,7.190000000000000000e+02,2001
14,cerebrovascular diseases,0.000000000000000000e+00,2001
15,alzheimer's disease,1.590000000000000000e+02,2001
16,diabetes,4.560000000000000000e+02,2001
17,Influenza,4.900000000000000000e+01,2001
18,pneumonia,1.720000000000000000e+02,2001
19,flu,2.130000000000000000e+02,2001
20,kidney disease,3.100000000000000000e+01,2001
21,nephrosis,0.000000000000000000e+00,2001
22,nephritis,0.000000000000000000e+00,2001
23,nephrotic syndrome,0.000000000000000000e+00,2001
24,suicide,1.332000000000000000e+03,2001
25,self-harm,0.000000000000000000e+00,2001
26,homicide,3.510000000000000000e+02,2001
27,murder,2.193000000000000000e+03,2001
28,manslaughter,1.600000000000000000e+02,2001
29,assassination,4.910000000000000000e+02,2001
30,terrorism,3.524000000000000000e+03,2001
31,terrorist,5.340000000000000000e+03,2001
32,terror attack,1.480000000000000000e+02,2001
33,shootings,3.380000000000000000e+02,2001
34,gun violence,5.500000000000000000e+01,2001
35,knife attack,6.000000000000000000e+00,2001
36,knifing,7.000000000000000000e+00,2001
37,lynching,3.700000000000000000e+01,2001
38,drug overdose,2.600000000000000000e+01,2001
